Municipality,Number of Taxpayers,Total Retail Sales of Goods,Total Tax Due **(Excluding Tax at 9.35% Rate) ,Tax Due At 6.35%,Tax Due at 7%
ANDOVER (001),127,5529457.00,428026.00,427872.00,59.00
ANSONIA (002),402,89228175.00,3817640.00,3813289.00,2042.00
ASHFORD (003),166,12598684.00,659952.00,654175.00,5653.00
AVON (004),739,205383841.00,8690891.00,8575388.00,113441.00
BARKHAMSTED (005),174,30403443.00,695373.00,694846.00,0.00
BEACON FALLS (006),185,35260220.00,1265745.00,1264891.00,0.00
BERLIN (007),939,985677506.00,61155725.00,61085854.00,65998.00
BETHANY (008),231,27887623.00,1049597.00,1048503.00,0.00
BETHEL (009),787,231170096.00,8012791.00,7968305.00,36095.00
BETHLEHEM (010),237,29410346.00,1131629.00,1130744.00,0.00
BLOOMFIELD (011),749,271142392.00,9058523.00,9041075.00,13219.00
BOLTON (012),213,106830522.00,2071046.00,2070437.00,7.00
BOZRAH (013),112,80949091.00,1465654.00,1465631.00,0.00
BRANFORD (014),1291,1191476672.00,51396416.00,51258136.00,136628.00
BRIDGEPORT (015),2474,2332805076.00,45040261.00,44512352.00,519577.00
BRIDGEWATER (016),106,7562339.00,367014.00,366937.00,0.00
BRISTOL (017),1657,660452773.00,23123618.00,23022262.00,97593.00
BROOKFIELD (018),726,515763852.00,15942224.00,15903736.00,31289.00
BROOKLYN (019),235,69544245.00,2873370.00,2859569.00,12064.00
BURLINGTON (020),343,21813272.00,1062089.00,1060817.00,240.00
CANAAN (021),216,122252604.00,3164789.00,3163982.00,11.00
CANTERBURY (022),162,15429519.00,584165.00,578830.00,4937.00
CANTON (023),591,241208384.00,12342000.00,12012348.00,323693.00
CHAPLIN (024),108,10226777.00,494597.00,493512.00,28.00
CHESHIRE (025),1033,1776767233.00,14388512.00,14321129.00,66168.00
CHESTER (026),215,74898571.00,1192863.00,1186756.00,5642.00
CLINTON (027),566,218680201.00,10553914.00,10376592.00,174099.00
COLCHESTER (028),564,278614536.00,6481069.00,6469882.00,10723.00
COLEBROOK (029),47,617366.00,41662.00,41642.00,0.00
COLUMBIA (030),229,85741604.00,3569197.00,3474460.00,94392.00
CORNWALL (031),140,11151527.00,634371.00,630933.00,2975.00
COVENTRY (032),397,43976066.00,1896844.00,1895834.00,372.00
CROMWELL (033),509,375151664.00,6383285.00,6381635.00,250.00
DANBURY (034),2635,6466797184.00,126814871.00,124710020.00,2097991.00
DARIEN (035),775,977688112.00,27449582.00,25980959.00,1464220.00
DEEP RIVER (036),210,59358299.00,1477122.00,1468023.00,6723.00
DERBY (037),329,142216072.00,5050321.00,5048502.00,97.00
DURHAM (038),346,122349743.00,2658728.00,2657061.00,0.00
EAST GRANBY (040),239,281579979.00,3375447.00,3362363.00,12373.00
